ID,Title,Description,Author,Date,Subject,Text,Keywords
0,'Als ik thuiswerk ben ik productiever dan op kantoor' ,Werknemers krijgen geen wettelijk recht op thuiswerken. De wet Werken waar je wilt werd dinsdag door de Eerste Kamer verworpen. Op ons discussieplatform NUjij was daarover veel discussie. Daarom is vandaag de stelling: 'Als ik thuiswerk ben ik productiever dan op kantoor.', Door onze interactieredactie ,2023-09-27T07:00:48+02:00, Stelling en Praat Mee ,Werknemers krijgen geen wettelijk recht op thuiswerken. De wet Werken waar je wilt werd dinsdag door de Eerste Kamer verworpen. Op ons discussieplatform NUjij was daarover veel discussie. Daarom is vandaag de stelling: 'Als ik thuiswerk ben ik productiever dan op kantoor.' Kun je de reacties niet vinden? Klik boven of onder dit bericht op de knop met daarin het woord 'reacties' om naar de reacties te gaan. Daar kun je jouw reactie of opmerking achterlaten. Of klik hier om direct naar de reacties te gaan. ,"Stelling En Praat Mee, Politiek, Werk, Economie, Binnenland, Nujij, Thuis, Eerste Kamer"
1,Common en Jennifer Hudson bevestigen hun relatie in talkshow ,Common en Jennifer Hudson hebben laten weten dat ze een relatie met elkaar hebben. De twee deden dit maandag in de talkshow van Hudson. Vooraf is een fragment online gezet., Door onze entertainmentredactie ,2024-01-22T12:13:30+01:00, Achterklap ,"Common en Jennifer Hudson hebben laten weten dat ze een relatie met elkaar hebben. De twee deden dit maandag in de talkshow van Hudson. Vooraf is een fragment online gezet. ""Als presentator moet ik je deze vraag stellen: ben je met iemand aan het daten?"", zegt de 42-jarige Hudson in de video van The Jennifer Hudson Show. Daarop reageert de rapper en acteur bevestigend. Hij heeft zelfs een relatie, zegt hij,  ""Met een van de mooiste mensen die ik ooit in mijn leven heb ontmoet. Ze is slim en getalenteerd."" Tot dat moment zou het nog over iedereen kunnen gaan, maar daarna is de 51-jarige acteur duidelijker. ""Ik heb de lat hoog gelegd, want ze moest wel een EGOT hebben"", zegt hij. Dat is de status die je krijgt als je een Emmy, Grammy, Oscar en Tony Award wint. Hudson bereikte die status in 2022. Vervolgens laat Common nog duidelijker weten dat het om haar gaat: ""Ze moest met haar eerste film een Oscar winnen. En ze moest haar eigen talkshow hebben"". Hudson won een Oscar voor haar eerste rol in Dreamgirls (2006). Common, die eigenlijk Lonnie Rashid Lynn heet, vraagt ook aan Hudson hoe haar liefdesleven ervoor staat. ""Ik ben ook aan het daten"", antwoordt ze. ""En ik ben erg gelukkig."" Onlangs werd het koppel al eens samen bij een wedstrijd van de LA Lakers gesignaleerd. Ze bezochten ook een concert van Usher in Las Vegas. ","Achterklap, Jennifer Hudson"
2,"Radiostilte in formatie wordt doorbroken, spanning loopt op ","Ondanks de afgesproken radiostilte tijdens de formatie wordt het duidelijk dat de spanning tussen PVV, VVD, NSC en BBB aan tafel oploopt. PVV-leider Geert Wilders dreigde op X met nieuwe verkiezingen. Ook noemde hij daar VVD-leider Dilan Yesilgöz zuur.", Door Priscilla Slomp en Edo van der Goot ,2024-01-29T19:03:21+01:00, Politiek ,"Ondanks de afgesproken radiostilte tijdens de formatie wordt het duidelijk dat de spanning tussen PVV, VVD, NSC en BBB aan tafel oploopt. PVV-leider Geert Wilders dreigde op X met nieuwe verkiezingen. Ook noemde hij daar VVD-leider Dilan Yesilgöz zuur. ""Ik sta hier echt niet om zijn tweets te recenseren"", zei Yesilgöz maandagmiddag over Wilders' laatste belediging. ""Ik vind daar heel weinig van."" Wilders sneerde die ochtend op X richting Yesilgöz: ""Zure Yesilgöz sneert, niemand in de zaal reageert."" De VVD'er had op haar beurt in haar speech op het partijcongres van afgelopen zaterdag weer steekjes uitgedeeld aan Wilders. ""Als je heel vakkundig boze berichten de wereld in stuurt, kan je er zelfs verkiezingen mee winnen"", zei ze grappend. Maar het zorgde voor weinig reactie in de zaal. De PVV-leider haalt op X vaker uit. Ook tijdens de formatie, terwijl de gesprekken juist gebaat zijn bij zo min mogelijk afleiding van buitenaf. Het is bekend dat de gesprekspartners zich achter de schermen ergeren aan Wilders' twittergedrag. Dit weekend hintte Wilders op X zelfs openlijk op nieuwe verkiezingen. Hij schreef: ""Wij gaan voor een rechts kabinet. Nederlanders weer op één. Een forse lastenverlichting voor burgers en geen pijnlijke megabezuinigingen. Heel veel minder asielzoekers en dwang in de diepvries. Ik hoop dat het lukt, zodat nieuwe verkiezingen niet nodig zijn."" Je kon er een dreigement in lezen. De verwijzing naar nieuwe verkiezingen deed de wenkbrauwen fronsen. ""Daar was ik ook een beetje verbaasd over"", zei Yesilgöz maandag. Op het VVD-congres sprak zij juist van een ""goede kans op een vruchtbare samenwerking"". Volgens de VVD-leider verlopen de gesprekken in ""goede sfeer"". Volgens NSC-leider Pieter Omtzigt heeft iedereen aan de formatietafel nog het gevoel dat ze ""de goede kant"" op gaan. Want - zo benadrukt hij - er is nog niemand van tafel weggelopen. Tegelijkertijd spreekt hij van ""pittige"" en ""serieuze"" gesprekken. Op de vraag of de partijen eruit gaan komen, reageerde de NSC-leider afwachtend. ""We kijken wat er in het verslag staat."" Wilders erkende maandag dat er flinke druk staat op de formatiegesprekken. ""Er staat veel op het spel en het zijn harde onderhandelingen. Ik kan het niet mooier maken dan het is en we zullen kijken wat eruit komt"", zei hij vlak voordat de gesprekken met de andere partijleiders weer begonnen. Wilders voert met zijn uitspraken en berichten de druk verder op. De partijen aan tafel zijn al weken aan het uitzoeken of er voldoende grond is om een nieuwe fase van onderhandelen in te gaan. Het is geen geheim dat de partijen op bepaalde fundamentele kwesties lijnrecht tegenover elkaar staan. Zo is het nog steeds niet duidelijk of met name Omtzigt al overtuigd is van Wilders' intenties met de grondrechten en rechtsstaat. Maar ook de standpunten op het gebied van de overheidsfinanciën lopen flink uiteen. BBB en PVV willen bijvoorbeeld het eigen risico afschaffen, wat vele miljarden kost. Tegelijkertijd willen de partijen geen lastenverzwaring en geen bezuinigingen. De VVD huivert juist bij het laten oplopen van de staatsschuld. Informateur Ronald Plasterk erkende maandag dat de financiën een ingewikkeld vraagstuk zijn. ""Er moet perspectief zijn op overeenstemming. En juist bij financiën is dat natuurlijk een grote vraag."" De formatie duurt al ruim twee maanden, maar er lijkt weinig vooruitgang in te zitten. Plasterk komt uiterlijk 12 februari met zijn tussenverslag. ","Politiek, Formatie 2023, Bbb, Geert Wilders, Dilan Yesilgöz, Vvd, Nsc, Pvv."
3,Heb je een vraag over het sportnieuws? Stel hem hier ,We vinden het heel belangrijk om te weten welke vragen er leven bij onze bezoekers. Zo kunnen wij de antwoorden geven waar jij behoefte aan hebt en wordt onze berichtgeving relevanter. Heb jij een vraag over het sportnieuws? Stel hem dan via onderstaand formulier., Door NU.nl ,2022-01-10T10:01:27+01:00, Uitgelicht-sport ,We vinden het heel belangrijk om te weten welke vragen er leven bij onze bezoekers. Zo kunnen wij de antwoorden geven waar jij behoefte aan hebt en wordt onze berichtgeving relevanter. Heb jij een vraag over het sportnieuws? Stel hem dan via onderstaand formulier. ,"Uitgelicht Sport, Nieuws, Nu.nl"
4,Waarom zeggen we pepernoot als we kruidnoot bedoelen? ,"De pepernoten... pardon, kruidnoten liggen alweer een tijdje in de supermarkt. Veel mensen zeggen pepernoot, maar bedoelen kruidnoot. Waar komt deze verspreking vandaan?", Door Nienke Franken ,2023-10-07T21:04:02+02:00, Opmerkelijk ,"De pepernoten... pardon, kruidnoten liggen alweer een tijdje in de supermarkt. Veel mensen zeggen pepernoot, maar bedoelen kruidnoot. Waar komt deze verspreking vandaan? ""Pepernoot is een verzamelnaam voor veel verschillende koekjes"", zegt Oscar de Lange. Hij is eigenaar van de Pepernotenfabriek, de oudste kruidnotenproducent van Nederland. ""Een kruidnoot is een soort pepernoot."" Eigenlijk klopt het dus allebei. Kruidnoten zijn bedacht, omdat de oorspronkelijke pepernoten niet makkelijk in grote hoeveelheden te bakken zijn. De nieuwe soort wordt in eerste instantie kruidige pepernoot genoemd. Dat zijn de koekjes met een platte en bolle kant die we nu veel eten. Al snel is de naam verbasterd tot kruidnoot. ""Dus een kruidnoot is een pepernoot, maar een pepernoot is niet altijd een kruidnoot."" ","Opmerkelijk, Sinterklaas, Eten En Drinken"
5,Duitse politieagenten verdacht van corruptie na eten gratis curryworst ,Aanklagers in Hannover zijn een onderzoek begonnen naar zeventien Duitse politieagenten. De agenten worden verdacht van corruptie omdat ze gratis curryworsten aannamen., Door onze nieuwsredactie ,2024-01-23T14:28:06+01:00, Opmerkelijk ,"Aanklagers in Hannover zijn een onderzoek begonnen naar zeventien Duitse politieagenten. De agenten worden verdacht van corruptie omdat ze gratis curryworsten aannamen. De agenten zouden in een tijdsbestek van tien maanden voor maximaal 2.000 euro aan curryworsten hebben gegeten, zonder te betalen voor het typisch Duitse gerecht. De aanklagers vermoeden dat een instructeur van een trainingscursus hen voor de etentjes uitnodigde en de rekeningen betaalde. Mogelijk hoopte hij op goede beoordelingen van de cursisten. ""Dat zou het geval kunnen zijn, dus zijn we verplicht het te onderzoeken"", stellen de aanklagers. Omdat tijdens de etentjes ""vooral curryworsten"" zouden zijn gegeten, spreken Duitse media van de ""curryworstzaak"" en ""curryworstcorruptie"". ","Opmerkelijk, Duitsland, Buitenland, Hannover"
6,Sienna Miller (41) boos om kritiek op zwangerschap: 'Dubbele moraal' ,Sienna Miller is helemaal klaar met de kritiek op haar zwangerschap. De 41-jarige actrice zegt in de podcast van Vogue dat de negatieve reacties over haar leeftijd het gevolg zijn van een dubbele moraal., Door onze entertainmentredactie ,2023-12-14T15:34:54+01:00, Achterklap ,"Sienna Miller is helemaal klaar met de kritiek op haar zwangerschap. De 41-jarige actrice zegt in de podcast van Vogue dat de negatieve reacties over haar leeftijd het gevolg zijn van een dubbele moraal. ""Dat het onverantwoordelijk zou zijn of zielig voor het kind: het is zo'n dubbele moraal"", vindt Miller. ""Het is gewoon een vervelend en gemakkelijk doelwit. Maar ik vind het absurd."" Miller kreeg niet alleen kritiek vanwege de leeftijd waarop ze zwanger is geworden, maar ook op het leeftijdsverschil met haar partner, acteur Oli Green. De actrice is 14 jaar ouder dan haar 27-jarige collega. Miller, die al een elfjarige dochter uit een eerdere relatie heeft, was niet van plan om zwanger te worden. ""Het gebeurde als een totale verrassing en het is blijkbaar iets dat mijn lichaam kan doen"", zegt Miller, die deze maand uitgerekend is. ""En ik vind dat oordeel heel eenzijdig, het is zo triest."" Miller maakte eerder deze week bekend dat zij en Green een dochter verwachten. ","Achterklap, Sienna Miller."
7,Trainer Van den Brom na anderhalf jaar ontslagen bij Lech Poznan ,John van den Brom is zondag na anderhalf jaar ontslagen bij Lech Poznan. De 57-jarige trainer wordt verantwoordelijk gehouden voor de slechte resultaten van de afgelopen periode., Door onze sportredactie ,2023-12-17T10:48:19+01:00, Voetbal ,"John van den Brom is zondag na anderhalf jaar ontslagen bij Lech Poznan. De 57-jarige trainer wordt verantwoordelijk gehouden voor de slechte resultaten van de afgelopen periode. Lech Poznan won slechts twee van de laatste acht competitieduels. De huidige nummer drie van de Ekstraklasa staat acht punten achter op koploper Slask Wroclaw. De club werd dit seizoen al in de voorrondes van de Conference League uitgeschakeld door het Slowaakse Spartak Trnava. ""We hebben de coach ontslagen, omdat onze ambities onveranderd zijn. We willen meedoen om het kampioenschap"", zegt technisch directeur Tomasz Rzasa op de site van Lech Poznan. Als speler was Rzasa in Nederland actief voor onder meer Feyenoord. De landskampioen van 2022 eindigde vorig seizoen derde in de Poolse competitie. Daarnaast leidde Van den Brom zijn ploeg naar de kwartfinales van de Conference League. Daarin verloor de club over twee wedstrijden van Fiorentina. Van den Brom lag tot volgend jaar zomer vast in Polen. De Nederlander was eerder hoofdcoach van AGOVV, ADO Den Haag, Vitesse, Anderlecht, AZ, FC Utrecht, KRC Genk en het Saoedische Al-Taawoun. Mariusz Rumak volgt Van den Brom op bij Lech Poznan. De 46-jarige Pool was de afgelopen tijd actief in de jeugdopleiding van de club. Hij was van 2012 tot 2014 ook al coach van de hoofdmacht. ","Voetbal, John Van Den Brom, Lech Poznan, Poznan, Trainer Van Den Brom"
8,Complete schedel van prehistorisch zeemonster gevonden aan Engelse kust ,"In het Engelse graafschap Dorset is de schedel van een reusachtig zeedier gevonden, schrijft de BBC zondag. De schedel is van een Pliosaurus, die ongeveer 150 miljoen jaar geleden leefde.", Door onze nieuwsredactie ,2023-12-10T14:29:38+01:00, Wetenschap ,"In het Engelse graafschap Dorset is de schedel van een reusachtig zeedier gevonden, schrijft de BBC zondag. De schedel is van een Pliosaurus, die ongeveer 150 miljoen jaar geleden leefde. De gevonden schedel is 2 meter lang. Het fossiel is opvallend compleet en intact. Dat biedt de wetenschap kansen om tot nieuwe inzichten te komen over het dier. Pliosaurus kon tot 12 meter lang worden. Het dier had ruim twee keer de bijtkracht van een zoutwaterkrokodil en bijna vijftig keer de bijtkracht van een mens. Een strandwandelaar vond het voorste stukje van de schedel in de Baai van Kimmeridge aan de Engelse zuidkust. Dat stuk kustlijn staat bekend als Jurassic Coast, omdat er vaker fossielen worden gevonden. De rest van de schedel werd uit de klif gehakt. Dat proces duurde maanden. Onderzoeker Steve Etches is er zeker van dat de rest van het dier nog verstopt zit in de kliffen, vertelt hij aan de BBC. Omdat de kliffen snel eroderen, is volgens hem nu het moment om het dier te gaan zoeken. De schedel van Pliosaurus staat centraal in een programma van de Britse bioloog David Attenborough, dat de BBC op Nieuwjaarsdag uitzendt. ","Wetenschap, Verenigd Koninkrijk, Dieren, Bbc, Pliosaurus, Dorset"
9,Robert De Niro (80) over negen maanden oude dochter: 'Wonderbaarlijk' ,Robert De Niro heeft voor het eerst verteld over zijn negen maanden oude dochtertje Gia. In gesprek met AARP zegt de tachtigjarige acteur dat hij het geweldig vindt dat hij opnieuw vader is geworden., Door onze entertainmentredactie ,2024-01-26T06:46:13+01:00, Achterklap ,"Robert De Niro heeft voor het eerst verteld over zijn negen maanden oude dochtertje Gia. In gesprek met AARP zegt de tachtigjarige acteur dat hij het geweldig vindt dat hij opnieuw vader is geworden. ""Het voelt fantastisch"", aldus De Niro. ""Al mijn zorgen verdwijnen als sneeuw voor de zon als ik naar haar kijk. Het is wonderbaarlijk."" De Amerikaanse acteur vraagt zich af, volgens AARP met tranen in de ogen, of dat zo blijft wanneer Gia ouder wordt. ""Maar ze is zo ontzettend lief - de manier waarop ze naar je kijkt, je in zich opneemt en observeert..."" In mei maakte De Niro bekend een zevende kind te hebben gekregen. Het meisje draagt de naam Gia Virginia en is het eerste kind dat de Killers of the Flower Moon-acteur kreeg met zijn vriendin Tiffany Chen (45). Chen is werkzaam als lerares in de vechtkunst en ontmoette De Niro op de set van The Intern, waarin ze een klein rolletje speelde. De Niro heeft zes andere kinderen, in de leeftijd van 12 tot 52 jaar, met drie verschillende vrouwen. ","Achterklap, Robert De Niro"
